station_id,lat,lon,coords
326,46.9478691,7.4598938,"(46.9478691, 7.4598938)"
666,46.997311304908294,7.458796441962296,"(46.997311304908294, 7.458796441962296)"
158,47.373675,8.545505,"(47.373675, 8.545505)"
377,46.0121344,8.9657021,"(46.0121344, 8.9657021)"
322,46.9347023,7.4420357,"(46.9347023, 7.4420357)"
98,47.3731102,8.5333139,"(47.3731102, 8.5333139)"
640,46.795871,7.156473,"(46.795871, 7.156473)"
509,46.796171649939694,7.143346608386447,"(46.796171649939694, 7.143346608386447)"
460,46.9662414,7.4558243,"(46.9662414, 7.4558243)"
202,46.9565421,7.4317735,"(46.9565421, 7.4317735)"
879,46.84898,9.5145,"(46.84898, 9.5145)"
872,46.85311,9.52903,"(46.85311, 9.52903)"
489,46.523333,6.625402,"(46.523333, 6.625402)"
358,47.397293,8.541453,"(47.397293, 8.541453)"
138,47.375933,8.543447,"(47.375933, 8.543447)"
481,46.9320203,7.4330474,"(46.9320203, 7.4330474)"
291,46.9635131,7.4555218,"(46.9635131, 7.4555218)"
162,46.38347,6.2137814,"(46.38347, 6.2137814)"
458,46.9458027,7.4729321,"(46.9458027, 7.4729321)"
836,46.510153,6.558052,"(46.510153, 6.558052)"
877,46.97422346344607,7.476819763848439,"(46.97422346344607, 7.476819763848439)"
313,46.9415535,7.4708855,"(46.9415535, 7.4708855)"
475,46.9475304,7.4521275,"(46.9475304, 7.4521275)"
554,46.95251,7.467399,"(46.95251, 7.467399)"
633,46.77787,7.15074,"(46.77787, 7.15074)"
587,46.005806,8.957374,"(46.005806, 8.957374)"
545,46.943536,7.463293,"(46.943536, 7.463293)"
641,46.81288,7.11461,"(46.81288, 7.11461)"
639,46.015758,8.971604,"(46.015758, 8.971604)"
262,46.9416249,7.4631929,"(46.9416249, 7.4631929)"
257,46.9480422,7.4502406,"(46.9480422, 7.4502406)"
238,46.7804953,7.1505764,"(46.7804953, 7.1505764)"
828,46.941794,7.390649,"(46.941794, 7.390649)"
835,46.95884778357857,7.429204058387358,"(46.95884778357857, 7.429204058387358)"
428,47.40158,8.58841,"(47.40158, 8.58841)"
232,46.9441328,7.449692,"(46.9441328, 7.449692)"
503,46.809589,7.14687,"(46.809589, 7.14687)"
227,46.9545136,7.4294963,"(46.9545136, 7.4294963)"
466,46.9486216,7.3827534,"(46.9486216, 7.3827534)"
198,46.9439597,7.3746103,"(46.9439597, 7.3746103)"
834,46.947649789766224,7.416924289192128,"(46.947649789766224, 7.416924289192128)"
508,46.80295,7.15966,"(46.80295, 7.15966)"
440,46.0166117,8.9596513,"(46.0166117, 8.9596513)"
380,46.0090116,8.9638054,"(46.0090116, 8.9638054)"
790,46.52112812235608,6.64036369203716,"(46.52112812235608, 6.64036369203716)"
581,46.514554,6.619263,"(46.514554, 6.619263)"
254,46.9486345,7.4567436,"(46.9486345, 7.4567436)"
560,47.376467,8.526609,"(47.376467, 8.526609)"
83,47.358663827,8.520370505,"(47.358663827, 8.520370505)"
661,47.36910680440694,8.541427242856333,"(47.36910680440694, 8.541427242856333)"
